Region/country/area,Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Chad,Bagasse,2,2,2,2,2,2,2,2,2,2,2,2,2
Chad,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Total renewable energy,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,5.448
Comoros,Hydropower,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448
Comoros,Renewable hydropower,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448
Comoros,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Solar,0,0,0,0,0,0,0,0,0,0,0,0,4
Comoros,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0,4
Comoros,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Total renewable energy,2514.16,2514.183,2514.247,2515.349,2515.568,2528.732,2543.23,2558.085,2721.504,2731.504,2741.404,2741.404,2741.504
Democratic Republic of the Congo,Hydropower,2514,2514,2514,2514.8,2514.8,2527.9,2539.9,2550.7,2698.7,2708.7,2718.6,2718.6,2718.7
Democratic Republic of the Congo,Renewable hydropower,2514,2514,2514,2514.8,2514.8,2527.9,2539.9,2550.7,2698.7,2708.7,2718.6,2718.6,2718.7
Democratic Republic of the Congo,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Solar,0,0.023,0.087,0.389,0.608,0.672,3.17,5.225,19.844,19.844,19.844,19.844,19.844
Democratic Republic of the Congo,Solar photovoltaic,0,0.023,0.087,0.389,0.608,0.672,3.17,5.225,19.844,19.844,19.844,19.844,19.844
Democratic Republic of the Congo,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Bioenergy,0.16,0.16,0.16,0.16,0.16,0.16,0.16,2.16,2.96,2.96,2.96,2.96,2.96
Democratic Republic of the Congo,Solid biofuels and renewable municipal waste,0.16,0.16,0.16,0.16,0.16,0.16,0.16,2.16,2.96,2.96,2.96,2.96,2.96
Democratic Republic of the Congo,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0
