CountryName,Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Democratic Republic of the Congo,Renewable hydropower,7509.701,7191.898,7557.63,8340.821,8719.769,8766.746,8827.527,9806.899,10881.945,11862.108,11890.743,11887.638
Democratic Republic of the Congo,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Wind,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Solar,0,0.029,0.111,0.498,0.778,0.86,4.058,6.688,25.4,25.4,25.4,25.4
Democratic Republic of the Congo,Solar photovoltaic,0,0.029,0.111,0.498,0.778,0.86,4.058,6.688,25.4,25.4,25.4,25.4
Democratic Republic of the Congo,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Bioenergy,0.42,0.42,0.42,0.42,0.42,0.42,0.42,5.676,7.779,7.779,7.779,7.779
Democratic Republic of the Congo,Solid biofuels and renewable municipal waste,0.42,0.42,0.42,0.42,0.42,0.42,0.42,5.676,7.779,7.779,7.779,7.779
Democratic Republic of the Congo,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Other solid biofuels,0.42,0.42,0.42,0.42,0.42,0.42,0.42,5.676,7.779,7.779,7.779,7.779
Democratic Republic of the Congo,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Total renewable energy,460.651,821.981,1018.443,985.389,1069.07,1129.344,1163.564,1234.191,1077.378,1077.966,1078.021,1078.021
Congo,Hydropower,429.8,790.8,987.2,953.9,1038.1,1098.2,1131.9,1202.9,1046,1046,1046,1046
Congo,Renewable hydropower,429.8,790.8,987.2,953.9,1038.1,1098.2,1131.9,1202.9,1046,1046,1046,1046
Congo,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Wind,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Solar,0,0.004,0.019,0.024,0.026,0.051,0.073,0.082,0.08,0.668,0.723,0.723
Congo,Solar photovoltaic,0,0.004,0.019,0.024,0.026,0.051,0.073,0.082,0.08,0.668,0.723,0.723
Congo,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Bioenergy,30.851,31.177,31.224,31.465,30.944,31.093,31.591,31.209,31.298,31.298,31.298,31.298
Congo,Solid biofuels and renewable municipal waste,30.851,31.177,31.224,31.465,30.944,31.093,31.591,31.209,31.298,31.298,31.298,31.298
Congo,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Bagasse,12.455,12.781,12.828,13.069,12.548,12.697,13.195,12.813,12.902,12.902,12.902,12.902
Congo,Other solid biofuels,18.396,18.396,18.396,18.396,18.396,18.396,18.396,18.396,18.396,18.396,18.396,18.396
Congo,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,Total renewable energy,1618,1774,1789,1605.87,1914,1352.5,1529.1,2047.6,2962.6,3482.4,3378.7,2632.6
Cote d'Ivoire,Hydropower,1618,1774,1789,1605.87,1914,1352.5,1529.1,2047.2,2962,3481,3376,2627
